Genus,Count,Sum,Mean,SD,Median,Max,Min
Mesoplasma,1,19720,19720,0,19720,19720,19720
Herbidospora,1,19535,19535,0,19535,19535,19535
Skermanella,1,19166,19166,0,19166,19166,19166
Ktedonobacter,1,19073,19073,0,19073,19073,19073
Tepidicaulis,1,18946,18946,0,18946,18946,18946
Nitrosococcus,1,18734,18734,0,18734,18734,18734
Acetivibrio,1,18577,18577,0,18577,18577,18577
Caldimonas,1,18538,18538,0,18538,18538,18538
Nocardioides,1,18356,18356,0,18356,18356,18356
Xanthomarina,1,18289,18289,0,18289,18289,18289
Archangium,1,18274,18274,0,18274,18274,18274
Chloroflexus,1,18070,18070,0,18070,18070,18070
Thermoanaerobacterium,1,18004,18004,0,18004,18004,18004
Rhodopirellula,1,17934,17934,0,17934,17934,17934
Halomonas,1,17922,17922,0,17922,17922,17922
Hydrogenobaculum,1,17437,17437,0,17437,17437,17437
Paraclostridium,1,17195,17195,0,17195,17195,17195
Gemella,1,16866,16866,0,16866,16866,16866
Coprobacillus,1,16669,16669,0,16669,16669,16669
Hylemonella,1,16255,16255,0,16255,16255,16255
Nitrosomonas,1,15801,15801,0,15801,15801,15801
Finegoldia,1,15712,15712,0,15712,15712,15712
Chromobacterium,1,15605,15605,0,15605,15605,15605
Bergeyella,1,15457,15457,0,15457,15457,15457
Rivularia,1,15136,15136,0,15136,15136,15136
Maribacter,1,15031,15031,0,15031,15031,15031
Desulfosarcina,1,15001,15001,0,15001,15001,15001
Hydrogenibacillus,1,14569,14569,0,14569,14569,14569
Pseudacidovorax,1,14265,14265,0,14265,14265,14265
Roseovarius,1,14009,14009,0,14009,14009,14009
Sanguibacter,1,13803,13803,0,13803,13803,13803
Spirulina,1,13758,13758,0,13758,13758,13758
Oceanobacillus,1,13726,13726,0,13726,13726,13726
Bizionia,1,13516,13516,0,13516,13516,13516
Oceanicaulis,1,13510,13510,0,13510,13510,13510
Aerococcus,1,13218,13218,0,13218,13218,13218
Gillisia,1,13146,13146,0,13146,13146,13146
Paraglaciecola,1,13101,13101,0,13101,13101,13101
Diaphorobacter,1,13029,13029,0,13029,13029,13029
Aureimonas,1,12985,12985,0,12985,12985,12985
Lyngbya,1,12917,12917,0,12917,12917,12917
Eubacterium,1,12839,12839,0,12839,12839,12839
Cohnella,1,12798,12798,0,12798,12798,12798
Megasphaera,1,12628,12628,0,12628,12628,12628
Methylocaldum,1,12371,12371,0,12371,12371,12371
Blattabacterium,1,12342,12342,0,12342,12342,12342
Luteimonas,1,12050,12050,0,12050,12050,12050
Veillonella,1,11906,11906,0,11906,11906,11906
Gilvimarinus,1,11860,11860,0,11860,11860,11860
Anoxybacillus,1,11763,11763,0,11763,11763,11763
Prauserella,1,11623,11623,0,11623,11623,11623
Blastococcus,1,11604,11604,0,11604,11604,11604
Frigoribacterium,1,11367,11367,0,11367,11367,11367
Dyella,1,11278,11278,0,11278,11278,11278
Tropicibacter,1,11195,11195,0,11195,11195,11195
Saccharothrix,1,11001,11001,0,11001,11001,11001
Rhodanobacter,1,10941,10941,0,10941,10941,10941
Hungatella,1,10849,10849,0,10849,10849,10849
Sediminibacterium,1,10763,10763,0,10763,10763,10763
