Genus,Count,Sum,Mean,SD,Median,Max,Min
Anaerococcus,32,96207.40109528,3006.4812842275,9526.60380312525,301.1051902,47812.196078846,10.612168856
Steroidobacter,5,85376.82686497,17075.365372994,29015.4698305462,1584.24507549,67953.94242261,183.97988198
Blastococcus,8,83042.89246688,10380.36155836,14015.0224235427,3803.4578112,41521.44623665,326.68730578
Veillonella,9,77113.1682433852,8568.12980482058,13519.3980401613,2255.903386,38556.584120551,304.11047523
Bosea,18,72869.676071839,4048.31533732439,5862.14256739006,1736.3524366365,19320.958808548,31.6180076
Roseomonas,11,71350.515477524,6486.41049795673,11907.7492049663,1534.4473628,35675.257740132,100.96145584
Pseudoxanthomonas,6,68657.914752956,11442.9857921593,17210.5068551082,395.9941942,34328.957379308,266.3598446
Agrobacterium,23,66103.347093416,2874.05856927896,6949.99099389332,555.3331972,33051.673544978,48.45989886
Geobacillus,11,66023.4399752,6002.13090683636,12889.8702977953,1449.57257804,43943.61421728,20.48791264
Caulobacter,14,64053.974964843,4575.28392606021,7754.56803957263,1776.1639048775,29428.73884257,52.32503416
Janibacter,6,63622.640050617,10603.7733417695,11878.8443554818,8024.21154655,31811.320023229,13.686394318
Actinomyces,31,61728.115130089,1991.22952032545,5469.92299682474,351.1105792,29649.057562711,17.15396278
Porphyromonas,18,56877.54890949,3159.863828305,6700.84388823082,848.6374614,28438.77445625,116.69249596
Erwinia,14,54929.20544127,3923.51467437643,7453.90815286371,756.4197851,27464.60271991,104.82869572
Rubellimicrobium,16,53849.358202344,3365.5848876465,7296.09015067204,523.32422018,26924.679100758,11.878350096
Diaphorobacter,3,52460.618281136,17486.8727603787,12140.9645117252,22605.531776068,26230.309139068,3624.777366
Sphingobium,18,50325.259400609,2795.84774447828,5918.92092092913,625.103110915,25162.629700603,10.505647386
Arthrobacter,21,49940.952310248,2378.14058620229,5379.26115703758,867.7009046,24970.476156814,108.73758112
Massilia,44,49488.540074309,1124.73954714339,3752.94280576953,336.0319162,24744.270038565,23.25073982
Kaistobacter,2,48580.590409664,24290.295204832,0,24290.295204832,24290.295204832,24290.295204832
Dietzia,7,47788.367970938,6826.909710134,9267.32612132135,2800.1991813,23894.183983559,50.30609982
Rhodococcus,7,47360.102623926,6765.72894627514,7722.53652979999,1988.61497,19247.61343942,110.17461918
Aeromonas,14,47244.0633160142,3374.57595114387,6042.0138378595,1628.8796309,23622.0316588501,83.64022674
Tuberibacillus,4,44639.7061034,11159.92652585,12591.8241891178,11136.2817362,22319.8530478,47.2895832
Friedmanniella,20,44451.8366635344,2222.59183317672,4781.82642887507,643.67353051,21751.1923204372,116.22188884
Delftia,7,44204.534977428,6314.933568204,7723.43212330597,3078.53680357,20016.52622254,280.502950952
Fusobacterium,16,42170.533109312,2635.658319332,5607.71463942788,282.01782564,21085.266556522,4.091766916
Ochrobactrum,9,41894.05946271,4654.89549585667,7910.26535200194,551.5975182,23885.55632478,71.9211251
Nocardioides,29,41468.912924419,1429.96251463514,3875.75796631162,378.9151666,20734.456460904,16.266437368
Haemophilus,8,41273.717425014,5159.21467812675,9123.59374432427,1569.43632389,27087.245121034,225.3332912
Moryella,6,41171.84163973,6861.97360662167,9623.41468964446,935.05407808,20585.9208197,284.71162704
Rhizobium,14,40094.06623628,2863.86187402,7129.35075440963,370.73837179,26897.02502088,18.6875122
Neisseria,24,39126.6103446081,1630.27543102534,3966.35647953917,507.38352657,19563.305172064,63.8284792
Photobacterium,3,38933.74221518,12977.9140717267,10105.1146181512,18131.85319559,19466.87110759,1335.017912
Lautropia,7,38282.67184758,5468.95312108286,9208.52494689966,93.24470346,19141.33592394,27.18243606
Finegoldia,7,37931.642927058,5418.80613243686,6804.86097966776,2104.63605053,18965.821463344,49.55171934
Skermanella,11,36908.69236466,3355.33566951455,5439.02084644983,1630.7042084,18454.34618198,245.9082102
Hydrogenophilus,3,36867.98777906,12289.3292596867,10281.4682430005,18014.2073932,18433.99388941,419.78649645
Gardnerella,2,36178.01440586,18089.00720293,0,18089.00720293,18089.00720293,18089.00720293
Planomicrobium,8,34838.19069234,4354.7738365425,5944.46507043379,1494.2863071,17419.09534641,74.74982644
Alcaligenes,5,34116.587932218,6823.3175864436,9215.65307428555,142.87337598,17058.29396583,23.4636187
Novosphingobium,21,33411.07888993,1591.00375666333,3632.54031062193,330.3333924,16705.539444371,9.61531526
Achromobacter,8,32469.98123252,4058.747654065,5783.24729392652,1700.275559105,16234.99061606,224.4352154
Klebsiella,8,32016.33630185,4002.04203773125,5653.02169381697,1151.705762955,16008.16815142,96.11478502
Brachybacterium,7,32001.473395136,4571.639056448,6174.09003501894,1549.216983763,16000.736697473,158.73068185
Deinococcus,12,31622.20970196,2635.18414183,2881.19921125353,1634.110437735,10607.92990636,136.4208575
Cellulomonas,10,31419.579559164,3141.9579559164,4448.11294471159,1916.5612833235,15466.789779684,621.46175506
Microbispora,2,31155.04074054,15577.52037027,0,15577.52037027,15577.52037027,15577.52037027
Sphingobacterium,10,31120.812210538,3112.0812210538,3769.37079050327,1549.3291011,11599.635574388,220.283684
Brevibacterium,11,31016.45114163,2819.67737651182,3634.34145523892,1493.5837922,10984.838408303,172.471699723
Weissella,6,30827.478029655,5137.9130049425,6029.44525023452,3122.444830808,15413.739014677,12.842395602
Modestobacter,9,30075.750708786,3341.750078754,4979.97794513745,584.8960422,15037.875354203,20.8026636
Gordonia,6,28756.503561476,4792.75059357933,3270.79634029602,3466.72971469,11343.622270238,2914.85888427
Leuconostoc,9,28584.4805713864,3176.05339682071,4655.10974952462,1146.7148744,14292.2402860732,287.2214652
Mycobacterium,19,28230.461467122,1485.81376142747,3174.67979179658,487.46569079,14115.2307335,16.973319352
Hymenobacter,14,28064.77759236,2004.62697088286,3664.65164855613,586.6965637,14032.38879612,94.76144744
Providencia,2,27409.198764,13704.599382,0,13704.599382,13704.599382,13704.599382
Lachnoanaerobaculum,5,27369.94680811,5473.989361622,6555.093578094,1159.231564205,13684.973404005,481.7489238
Gemella,20,25336.208044008,1266.8104022004,2126.42519309619,329.1356753835,7631.30434763,16.384006096
Peptoniphilus,14,24898.4419283542,1778.46013773959,3355.54456327909,533.1232935,12449.2209641391,18.634453932
Aerococcus,6,24886.91558714,4147.81926452333,4547.18566622512,2258.520348825,12443.45779335,27.38995604
Faecalibacterium,2,23402.788426544,11701.394213272,0,11701.394213272,11701.394213272,11701.394213272
Psychrobacter,10,22811.561891241,2281.1561891241,2898.37826437721,1626.7207868675,9779.0601588,13.815678676
Acidovorax,13,22679.394497496,1744.56880749969,3141.29188280997,360.6388772,10506.332586419,15.891595602
Exiguobacterium,12,22476.612908702,1873.05107572517,2639.02372531969,976.0950643,9672.842895621,167.26090636
Capnocytophaga,12,22117.59411577,1843.13284298083,3032.34643350463,734.3593411,11058.79705806,96.65325138
